candidate,party,constituency,votes,result,sex,province,district
Mitra Lingden,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Panchthar-1,143,Declared,♂ Male,Koshi Province,Panchthar
Raj Kishor Raya Yadav,Rastriya Prajatantra Party,Sarlahi-2,143,Declared,♂ Male,Madhesh Province,Sarlahi
Vish‍nu Giri,Rastriya Janamorcha,Nawalpur-2,143,Declared,♂ Male,Gandaki Province,Nawalpur
Lokendra Bahadur B.K.,CPN (Maoist),Kanchanpur-2,143,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Khadga Bahadur Karki,CPN (Maoist),Morang-3,142,Declared,♂ Male,Koshi Province,Morang
Mustak Ahamad Ansari,राष्ट्र निर्माण दल नेपाल,Mahottari-3,142,Declared,♂ Male,Madhesh Province,Mahottari
Bir Bahadur Tamang,Progressive Democratic Party,Dhading-2,142,Declared,♂ Male,Bagmati Province,Dhading
Mumataja Begam,Shram Sanskriti Party,Bara-3,142,Declared,♀ Female,Madhesh Province,Bara
Dev Bahadur Thapa,Mongol National Organisation,Gorkha-1,142,Declared,♂ Male,Gandaki Province,Gorkha
Arun Subba (Lechervo),जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Taplejung-1,141,Declared,♂ Male,Koshi Province,Taplejung
Kiran Limbu Lingden,Federal Democratic National Forum,Jhapa-4,141,Declared,♂ Male,Koshi Province,Jhapa
Khum Bahadur Gaha Magar,Mongol National Organisation,Dang-1,141,Declared,♂ Male,Lumbini Province,Dang
Yagya Bahadur Tamota,Nepal Humanist Party,Kailali-4,141,Declared,♂ Male,Sudurpashchim Province,Kailali
Aashutosh Dhungel,CPN (Maoist),Sunsari-3,140,Declared,♂ Male,Koshi Province,Sunsari
Bishnu Prasad Tiwari,Independent,Kaski-2,140,Declared,♂ Male,Gandaki Province,Kaski
Narmati Sijali,Rastriya Janamorcha,Palpa-1,140,Declared,♀ Female,Lumbini Province,Palpa
Ganga Prasada Jnyavali,CPN (Maoist),Nawalpur-2,140,Declared,♂ Male,Gandaki Province,Nawalpur
Rajendra Bahadur Shahi,Independent,Kailali-1,140,Declared,♂ Male,Sudurpashchim Province,Kailali
Valakrish‍na Sharma,Rastriya Janamorcha,Bara-3,139,Declared,♂ Male,Madhesh Province,Bara
Top Bahadur Aslami,Rastriya Janamukti Party,Palpa-2,138,Declared,♂ Male,Lumbini Province,Palpa
Chandrabhushana Pathak,Progressive Democratic Party,Parasi-2,137,Declared,♂ Male,Lumbini Province,Parasi
Shankara Mana Limbu,Federal Democratic National Forum,Tehrathum-1,136,Declared,♂ Male,Koshi Province,Tehrathum
Kailesh Mahato,आम जनता पार्टी(एकल चुनाव चिन्ह),Mahottari-3,136,Declared,♂ Male,Madhesh Province,Mahottari
Muhammad Bahid Fakir,Janata Samajwadi Party Nepal,Rupandehi-5,136,Declared,♂ Male,Lumbini Province,Rupandehi
Ram Charan Chaudhary,Shram Sanskriti Party,Banke-2,136,Declared,♂ Male,Lumbini Province,Banke
Bharat Kumar Rai (Yakkha),Janata Samajwadi Party Nepal,Sankhuwasabha-1,135,Declared,♂ Male,Koshi Province,Sankhuwasabha
Sudhira Kumara Sah,Independent,Bara-2,135,Declared,♂ Male,Madhesh Province,Bara
Chandra Saud,Ujyalo Nepal Party,Kailali-5,135,Declared,♂ Male,Sudurpashchim Province,Kailali
Shambhu Prasad Dev,Rastriya Ekta Dal,Saptari-1,134,Declared,♂ Male,Madhesh Province,Saptari
Badri Narayan Chaudhary,Federal Democratic National Forum,Siraha-1,134,Declared,♂ Male,Madhesh Province,Siraha
Bhola Miyan,Independent,Bara-4,134,Declared,♂ Male,Madhesh Province,Bara
Basant Raj Ghimire,Independent,Kaski-2,133,Declared,♂ Male,Gandaki Province,Kaski
Desh Raj Chaudhary,Rastriya Janamorcha,Kailali-3,133,Declared,♂ Male,Sudurpashchim Province,Kailali
Rabin Kumar Rai,CPN (Maoist),Dhankuta-1,132,Declared,♂ Male,Koshi Province,Dhankuta
Kharka Bahadur Thapa,Mongol National Organisation,Syangja-2,132,Declared,♂ Male,Gandaki Province,Syangja
Nir Bahadur Sintan,Rastriya Janamorcha,Makwanpur-2,131,Declared,♂ Male,Bagmati Province,Makwanpur
Keshu Raskoti Magar,National Republic Nepal,Rupandehi-5,131,Declared,♀ Female,Lumbini Province,Rupandehi
Tek Bahadur Pradhan,CPN (Maoist),Gorkha-2,130,Declared,♂ Male,Gandaki Province,Gorkha
Santosh Ghimire,Independent,Lamjung-1,130,Declared,♂ Male,Gandaki Province,Lamjung
Ajit Kumar Shrestha,Rastriya Prajatantra Party,Gulmi-1,130,Declared,♂ Male,Lumbini Province,Gulmi
Purna Bahadur Shahi,Rastriya Janamorcha,Surkhet-2,130,Declared,♂ Male,Karnali Province,Surkhet
Dilli Bahadur Jawegu,Federal Democratic National Forum,Morang-3,129,Declared,♂ Male,Koshi Province,Morang
Bhanu Shreshth,Shram Sanskriti Party,Sindhupalchok-2,129,Declared,♂ Male,Bagmati Province,Sindhupalchok
Dharmendra Tiwari,Nepal Janata Party,Parsa-3,129,Declared,♂ Male,Madhesh Province,Parsa
Indra Bahadur Rawal,CPN (Unified),Bardiya-1,129,Declared,♂ Male,Lumbini Province,Bardiya
Kumbha Budha,CPN (Maoist),Humla-1,128,Declared,♂ Male,Karnali Province,Humla
Khagendra Maharjan,CPN (Maoist),Lalitpur-3,127,Declared,♂ Male,Bagmati Province,Lalitpur
Sam‍‍jhana Gole,Mongol National Organisation,Bara-3,127,Declared,♀ Female,Madhesh Province,Bara
Binod Rana,Shram Sanskriti Party,Myagdi-1,127,Declared,♂ Male,Gandaki Province,Myagdi
Binita Kumari Rajbanshi,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Jhapa-3,126,Declared,♀ Female,Koshi Province,Jhapa
Kumar Prashad Khatiwada,CPN (Maoist),Morang-6,126,Declared,♂ Male,Koshi Province,Morang
Tulsiram Sapkota,Rastriya Janamorcha,Banke-1,126,Declared,♂ Male,Lumbini Province,Banke
Tara Bahadur Thapa,CPN (Maoist),Jhapa-4,125,Declared,♂ Male,Koshi Province,Jhapa
Homabhakta Limbu (kurumvanga),Rastriya Prajatantra Party,Tehrathum-1,125,Declared,♂ Male,Koshi Province,Tehrathum
Naresha Vi.ka.,United Citizens Party,Sunsari-1,125,Declared,♂ Male,Koshi Province,Sunsari
Krishna Kumari Dunuwar,CPN (Maoist),Sunsari-2,125,Declared,♀ Female,Koshi Province,Sunsari
Ram Chandra Bhatta,Janamat Party,Kanchanpur-2,125,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Shyam Sundar Shilpakar,Janata Samajwadi Party Nepal,Bhaktapur-1,124,Declared,♂ Male,Bagmati Province,Bhaktapur
Chhakka Budha,Rastriya Prajatantra Party,Humla-1,124,Declared,♂ Male,Karnali Province,Humla
Nita Sharma,CPN (Unified),Bardiya-2,124,Declared,♀ Female,Lumbini Province,Bardiya
Mo. Gulab Ansari,Independent,Sunsari-4,123,Declared,♂ Male,Koshi Province,Sunsari
Sikindra Raya Yadav,Rastriya Prajatantra Party,Rautahat-3,123,Declared,♂ Male,Madhesh Province,Rautahat
Prem Lal Chaudhary,Mongol National Organisation,Chitwan-1,123,Declared,♂ Male,Bagmati Province,Chitwan
Devi Sharma,Rastriya Janamorcha,Chitwan-2,123,Declared,♀ Female,Bagmati Province,Chitwan
Ol Bahadur Gurung,Mongol National Organisation,Kaski-2,123,Declared,♂ Male,Gandaki Province,Kaski
Karna Bahadur Thapa,Ujyalo Nepal Party,Gulmi-2,123,Declared,♂ Male,Lumbini Province,Gulmi
Santosha Silaval,Independent,Siraha-1,122,Declared,♂ Male,Madhesh Province,Siraha
Ganesh Bahadur Lamgade,CPN (Maoist),Tanahun-2,122,Declared,♂ Male,Gandaki Province,Tanahun
Yam Bahadur Chochangi Pun,Ujyalo Nepal Party,Parbat-1,122,Declared,♂ Male,Gandaki Province,Parbat
Mahendra Prakash Chanda,CPN (Maoist),Banke-2,122,Declared,♂ Male,Lumbini Province,Banke
Purna Bahadura Vishvakarma,Rastriya Janamukti Party,Parasi-1,122,Declared,♂ Male,Lumbini Province,Parasi
Krishna Bahadur Ghatani,CPN (Maoist),Dhading-2,121,Declared,♂ Male,Bagmati Province,Dhading
Somana Lama,CPN (Maoist),Sindhupalchok-2,121,Declared,♂ Male,Bagmati Province,Sindhupalchok
Hem Raj Bhatta,Rastriya Janamorcha,Kailali-4,121,Declared,♂ Male,Sudurpashchim Province,Kailali
Prema Prasada Dhakal,CPN (Maoist),Parasi-2,121,Declared,♂ Male,Lumbini Province,Parasi
Dilip Dhimal,Mongol National Organisation,Jhapa-4,120,Declared,♂ Male,Koshi Province,Jhapa
Badri Bikram Rai,Mongol National Organisation,Udayapur-1,120,Declared,♂ Male,Koshi Province,Udayapur
Dhruva Raj Oli,Independent,Salyan-1,120,Declared,♂ Male,Karnali Province,Salyan
Pramoda Paudyal,Progressive Democratic Party,Sunsari-3,119,Declared,♂ Male,Koshi Province,Sunsari
Ganga Ram Thakur,Shram Sanskriti Party,Siraha-2,119,Declared,♂ Male,Madhesh Province,Siraha
Surya Prasada Lama,Mongol National Organisation,Dhanusha-4,119,Declared,♂ Male,Madhesh Province,Dhanusha
Sunil Kumar Singh,Rastriya Prajatantra Party,Mahottari-4,119,Declared,♂ Male,Madhesh Province,Mahottari
Kamala Dangi,Rastriya Janamorcha,Salyan-1,119,Declared,♀ Female,Karnali Province,Salyan
Mohan Paudel,Independent,Bardiya-1,119,Declared,♂ Male,Lumbini Province,Bardiya
Balarama Khavas,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Morang-6,118,Declared,♂ Male,Koshi Province,Morang
Krishna Bahadur BK,CPN (Maoist),Parbat-1,118,Declared,♂ Male,Gandaki Province,Parbat
Kumar Gharti Magar,Mongol National Organisation,Rolpa-1,118,Declared,♂ Male,Lumbini Province,Rolpa
Ganga Prasad Giri,CPN (Maoist),Morang-5,117,Declared,♂ Male,Koshi Province,Morang
Shatrughana Thapa,Rastriya Janamukti Party,Nawalpur-1,117,Declared,♂ Male,Gandaki Province,Nawalpur
Laxmi Datt Bhatta,Jai Matribhumi Party,Dadeldhura-1,117,Declared,♂ Male,Sudurpashchim Province,Dadeldhura
Kumar Bahadur Tamang,CPN (Maoist),Dhading-1,116,Declared,♂ Male,Bagmati Province,Dhading
Devendra Gaire,United Citizens Party,Dhading-2,116,Declared,♂ Male,Bagmati Province,Dhading
Bishnu Prakash Upadhyay,CPN (Maoist),Kanchanpur-3,116,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Prakash Kafle,Progressive Democratic Party,Panchthar-1,115,Declared,♂ Male,Koshi Province,Panchthar
Birendra Shrestha,Progressive Democratic Party,Ramechhap-1,115,Declared,♂ Male,Bagmati Province,Ramechhap
Satara Mansur,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),Dhanusha-1,115,Declared,♂ Male,Madhesh Province,Dhanusha
Rat‍na Lama,United Citizens Party,Kavrepalanchok-1,114,Declared,♂ Male,Bagmati Province,Kavrepalanchok
Rama Nevasa Yadav,Janata Samajwadi Party Nepal,Kapilvastu-2,114,Declared,♂ Male,Lumbini Province,Kapilvastu
Man Bahadur Sunar,Rastriya Janamorcha,Banke-3,114,Declared,♂ Male,Lumbini Province,Banke
Aravinda Kumara Yadav,Independent,Siraha-3,113,Declared,♂ Male,Madhesh Province,Siraha
Gyanendra Prasad Kushwaha,Independent,Sarlahi-4,113,Declared,♂ Male,Madhesh Province,Sarlahi
Dipak Raj Joshi,Independent,Tanahun-1,113,Declared,♂ Male,Gandaki Province,Tanahun
Pushpa Raj Neupane,Progressive Democratic Party,Achham-2,113,Declared,♂ Male,Sudurpashchim Province,Achham
Bhagat Ram Dagaura Tharu,Janamat Party,Kailali-1,113,Declared,♂ Male,Sudurpashchim Province,Kailali
Amrit Bahadur Khatri,CPN (Maoist),Udayapur-1,112,Declared,♂ Male,Koshi Province,Udayapur
Om Bikram Panta,CPN (Maoist),Tanahun-1,112,Declared,♂ Male,Gandaki Province,Tanahun
Manrishi Dhital,Progressive Democratic Party,Jumla-1,112,Declared,♂ Male,Karnali Province,Jumla
Ramesha Senchuri,आम जनता पार्टी(एकल चुनाव चिन्ह),Surkhet-1,112,Declared,♂ Male,Karnali Province,Surkhet
Sunil Chamling,Janata Samajwadi Party Nepal,Khotang-1,111,Declared,♂ Male,Koshi Province,Khotang
Anita Kumari Chaudhari,आम जनता पार्टी(एकल चुनाव चिन्ह),Saptari-4,111,Declared,♀ Female,Madhesh Province,Saptari
Prasad Gurung,National Republic Nepal,Gorkha-2,111,Declared,♂ Male,Gandaki Province,Gorkha
Indrajita Saphi,आम जनता पार्टी(एकल चुनाव चिन्ह),Dhanusha-1,110,Declared,♂ Male,Madhesh Province,Dhanusha
Vijaya Kumara Sah,Independent,Mahottari-4,110,Declared,♂ Male,Madhesh Province,Mahottari
Ashik Prasad Mahato,CPN (Maoist),Chitwan-3,110,Declared,♂ Male,Bagmati Province,Chitwan
Olin Rajbanshi,Nepal Sadbhavana Party,Jhapa-1,109,Declared,♂ Male,Koshi Province,Jhapa
Sitarama Mahato,Independent,Dhanusha-3,109,Declared,♂ Male,Madhesh Province,Dhanusha
Shree Man Thapa,Mongol National Organisation,Kaski-1,109,Declared,♂ Male,Gandaki Province,Kaski
Jay Narayan Mandal,Shram Sanskriti Party,Saptari-3,108,Declared,♂ Male,Madhesh Province,Saptari
Prayag Lal Yadav,Independent,Siraha-1,108,Declared,♂ Male,Madhesh Province,Siraha
Rasbihari Mandal,CPN (Unified),Mahottari-4,108,Declared,♂ Male,Madhesh Province,Mahottari
Mahesh Nepali,CPN (Maoist),Makwanpur-1,108,Declared,♂ Male,Bagmati Province,Makwanpur
Hiru Shahi,CPN (Maoist),Surkhet-1,108,Declared,♂ Male,Karnali Province,Surkhet
Hem Kumar Gurung,Rastriya Janamorcha,Sankhuwasabha-1,107,Declared,♂ Male,Koshi Province,Sankhuwasabha
Subasa Vishvakarma,Independent,Sunsari-1,107,Declared,♂ Male,Koshi Province,Sunsari
Nunu Ram Chaudhary,Nepal Loktantrik Party,Sunsari-2,107,Declared,♂ Male,Koshi Province,Sunsari
Santosh Prashad Singh,Independent,Saptari-4,107,Declared,♂ Male,Madhesh Province,Saptari
Kishori Sahani,CPN (Maoist),Rautahat-4,107,Declared,♂ Male,Madhesh Province,Rautahat
Tirth Raj Upreti,Independent,Dadeldhura-1,107,Declared,♂ Male,Sudurpashchim Province,Dadeldhura
Dirshana Kumari Shahi,CPN (Maoist),Chitwan-2,106,Declared,♀ Female,Bagmati Province,Chitwan
Chandra Bir Kami,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),Banke-3,106,Declared,♂ Male,Lumbini Province,Banke
Chandra Deva Vi‍.ka.,Rastriya Janamorcha,Dadeldhura-1,106,Declared,♂ Male,Sudurpashchim Province,Dadeldhura
Aalam Kawari,Shram Sanskriti Party,Mahottari-2,105,Declared,♂ Male,Madhesh Province,Mahottari
Nam Bahadur Rana,National Republic Nepal,Tanahun-2,105,Declared,♂ Male,Gandaki Province,Tanahun
Nirmal Kumar Syangtan,Progressive Democratic Party,Sindhuli-2,104,Declared,♂ Male,Bagmati Province,Sindhuli
Umesha Kumara Mandal,Nepali Party for Nepal,Dhanusha-2,104,Declared,♂ Male,Madhesh Province,Dhanusha
Ramahridaya Mahato,Independent,Dhanusha-4,104,Declared,♂ Male,Madhesh Province,Dhanusha
Umesh Kumar Singh,Gatishil Loktantrik Party,Sarlahi-2,104,Declared,♂ Male,Madhesh Province,Sarlahi
Nirmala Kumari Thakur,Janamat Party,Chitwan-2,104,Declared,♀ Female,Bagmati Province,Chitwan
Shrinivas Yadav,Janata Samajwadi Party Nepal,Rupandehi-3,104,Declared,♂ Male,Lumbini Province,Rupandehi
Shankar Prasad Gyawali,CPN (Maoist),Rupandehi-3,104,Declared,♂ Male,Lumbini Province,Rupandehi
Keshav Bahadur Magar,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Udayapur-2,103,Declared,♂ Male,Koshi Province,Udayapur
Kumara Tamangg,Mongol National Organisation,Dolakha-1,103,Declared,♂ Male,Bagmati Province,Dolakha
Abdul Kudush Mansuri,Independent,Sarlahi-2,103,Declared,♂ Male,Madhesh Province,Sarlahi
Arun Tiwari,Independent,Kapilvastu-2,103,Declared,♂ Male,Lumbini Province,Kapilvastu
Binod Babu Pradhan,Independent,Kathmandu-4,102,Declared,♂ Male,Bagmati Province,Kathmandu
Raja Kumara Yadava,Nepal Janata Party,Rautahat-2,102,Declared,♂ Male,Madhesh Province,Rautahat
Chanachana Chaudhari Tharu,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Rautahat-3,102,Declared,♂ Male,Madhesh Province,Rautahat
Shalikram Prasad Kanu,Nepal Loktantrik Party,Parsa-1,102,Declared,♂ Male,Madhesh Province,Parsa
Laxmi Kumari Mandari,Rastriya Janamorcha,Kapilvastu-2,102,Declared,♀ Female,Lumbini Province,Kapilvastu
Lokendra Bahadur Shahi,Rastriya Prajatantra Party,Achham-1,102,Declared,♂ Male,Sudurpashchim Province,Achham
Lakshi Ram Chaudhary,Progressive Democratic Party,Kailali-3,102,Declared,♂ Male,Sudurpashchim Province,Kailali
Suresh Rai,United Citizens Party,Udayapur-1,101,Declared,♂ Male,Koshi Province,Udayapur
Pintu Dasa Tatma,Independent,Rautahat-3,101,Declared,♂ Male,Madhesh Province,Rautahat
Kamal Bahadur Barai Magar,Rastriya Janamorcha,Dailekh-2,101,Declared,♂ Male,Karnali Province,Dailekh
Pinki Raee (begu Rama Raee),Samaveshi Samajwadi Party,Okhaldhunga-1,100,Declared,♂ Male,Koshi Province,Okhaldhunga
Shyama Kishora Sah,Independent,Dhanusha-3,100,Declared,♂ Male,Madhesh Province,Dhanusha
Laxmi Narayan Gupta,Independent,Parsa-2,100,Declared,♂ Male,Madhesh Province,Parsa
Dipak Bhandari,Progressive Democratic Party,Kaski-2,100,Declared,♂ Male,Gandaki Province,Kaski
Narayan Prasad Nagila,Progressive Democratic Party,Rupandehi-2,100,Declared,♂ Male,Lumbini Province,Rupandehi
Man Bahadur Sawa (Limbu),Federal Democratic National Forum,Jhapa-1,99,Declared,♂ Male,Koshi Province,Jhapa
Til Bahadur Rai,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Jhapa-2,99,Declared,♂ Male,Koshi Province,Jhapa
Raman Kumar Karn,आम जनता पार्टी(एकल चुनाव चिन्ह),Mahottari-2,99,Declared,♂ Male,Madhesh Province,Mahottari
Umangga Ke.si,Independent,Lalitpur-2,99,Declared,♂ Male,Bagmati Province,Lalitpur
Mingamara Tamang,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Sindhupalchok-2,99,Declared,♂ Male,Bagmati Province,Sindhupalchok
Suka Dorje Gole,Mongol National Organisation,Bara-1,99,Declared,♂ Male,Madhesh Province,Bara
Kalidasa Vi.ka.,United Citizens Party,Salyan-1,99,Declared,♂ Male,Karnali Province,Salyan
Arjun Kumar Pandey,CPN (Maoist),Jhapa-2,98,Declared,♂ Male,Koshi Province,Jhapa
Trinarayan Rajwanshi,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Jhapa-4,98,Declared,♂ Male,Koshi Province,Jhapa
Arun Karki,Independent,Ramechhap-1,98,Declared,♂ Male,Bagmati Province,Ramechhap
Ramnath Prasad Sah,CPN (Unified),Sarlahi-4,98,Declared,♂ Male,Madhesh Province,Sarlahi
Vira Vahadura Gurungg,National Republic Nepal,Parbat-1,98,Declared,♂ Male,Gandaki Province,Parbat
Badri Pasavan,आम जनता पार्टी(एकल चुनाव चिन्ह),Morang-6,97,Declared,♂ Male,Koshi Province,Morang
Ranjan Kumar Jha,Independent,Mahottari-3,97,Declared,♂ Male,Madhesh Province,Mahottari
Ganesh Maya Dangol,Nepal Workers and Peasants Party,Kathmandu-7,97,Declared,♀ Female,Bagmati Province,Kathmandu
Dipaka Kumara Di.si.,Progressive Democratic Party,Bajura-1,97,Declared,♂ Male,Sudurpashchim Province,Bajura
Maan Bahadur Darlami,Mongol National Organisation,Palpa-2,96,Declared,♂ Male,Lumbini Province,Palpa
Rabi Khaiju,Progressive Democratic Party,Bhaktapur-1,95,Declared,♂ Male,Bagmati Province,Bhaktapur
Lal Bahadur Sarki (Gotame),Rastriya Janamukti Party,Tanahun-2,95,Declared,♂ Male,Gandaki Province,Tanahun
Bidha Sharma,आम जनता पार्टी(एकल चुनाव चिन्ह),Banke-3,95,Declared,♀ Female,Lumbini Province,Banke
Thaneshwar Lekhak,Independent,Kanchanpur-3,95,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Dil Bahadur Bastola,CPN (Maoist),Sunsari-1,94,Declared,♂ Male,Koshi Province,Sunsari
Ramesh Kumar Singh Dunuwar,Mongol National Organisation,Mahottari-1,94,Declared,♂ Male,Madhesh Province,Mahottari
Silam Devi Yadav,आम जनता पार्टी(एकल चुनाव चिन्ह),Mahottari-4,94,Declared,♀ Female,Madhesh Province,Mahottari
Jivana Lama,Independent,Kavrepalanchok-1,94,Declared,♂ Male,Bagmati Province,Kavrepalanchok
Bishnu Bahadur Gaha,National Republic Nepal,Arghakhanchi-1,94,Declared,♂ Male,Lumbini Province,Arghakhanchi
Tara Singh Thapa Magar,National Republic Nepal,Pyuthan-1,94,Declared,♂ Male,Lumbini Province,Pyuthan
Dalavira Kami,United Citizens Party,Dang-3,94,Declared,♂ Male,Lumbini Province,Dang
Sitaram Yadav,Rastriya Ekta Dal,Banke-2,94,Declared,♂ Male,Lumbini Province,Banke
Aan Singh Bhandari,Janata Samajwadi Party Nepal,Baitadi-1,94,Declared,♂ Male,Sudurpashchim Province,Baitadi
Navaraj Koirala,Nepal Workers and Peasants Party,Baitadi-1,94,Declared,♂ Male,Sudurpashchim Province,Baitadi
Ram Kebal Raya,Independent,Sarlahi-2,93,Declared,♂ Male,Madhesh Province,Sarlahi
Tek Bahadur Tamang,Mongol National Organisation,Chitwan-3,93,Declared,♂ Male,Bagmati Province,Chitwan
Naresha Raval,Independent,Kailali-1,93,Declared,♂ Male,Sudurpashchim Province,Kailali
Yogendra B. Saud,Ujyalo Nepal Party,Kanchanpur-2,93,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Netra Bahadur Newang,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Okhaldhunga-1,92,Declared,♂ Male,Koshi Province,Okhaldhunga
Biltu Yadav,आम जनता पार्टी(एकल चुनाव चिन्ह),Siraha-2,92,Declared,♂ Male,Madhesh Province,Siraha
Chandra Bhusan Sah,आम जनता पार्टी(एकल चुनाव चिन्ह),Sarlahi-2,92,Declared,♂ Male,Madhesh Province,Sarlahi
Ashok Kumar Maharjan,Independent,Lalitpur-3,92,Declared,♂ Male,Bagmati Province,Lalitpur
Dava Gyamchho Lama,Rastriya Janamorcha,Sindhupalchok-1,92,Declared,♂ Male,Bagmati Province,Sindhupalchok
Jitan Pun,National Republic Nepal,Dang-2,92,Declared,♂ Male,Lumbini Province,Dang
Hari Prasad Dangi,Rastriya Prajatantra Party,Dolpa-1,92,Declared,♂ Male,Karnali Province,Dolpa
Jitendra Rai,Independent,Dhankuta-1,91,Declared,♂ Male,Koshi Province,Dhankuta
Bashudev Sahu Teli,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Sunsari-3,91,Declared,♂ Male,Koshi Province,Sunsari
Tribhuvan Khang,Shram Sanskriti Party,Saptari-2,91,Declared,♂ Male,Madhesh Province,Saptari
Nisha Adhikari,Gatishil Loktantrik Party,Kathmandu-5,91,Declared,♀ Female,Bagmati Province,Kathmandu
Rajarama Mukhiya,Progressive Democratic Party,Rautahat-1,91,Declared,♂ Male,Madhesh Province,Rautahat
Sita Devi Chhetri,Rastriya Janamorcha,Chitwan-1,91,Declared,♀ Female,Bagmati Province,Chitwan
Kamal Khadka BK,CPN (Maoist),Kaski-3,91,Declared,♂ Male,Gandaki Province,Kaski
Niba Bahadura Aale,Mongol National Organisation,Nawalpur-2,91,Declared,♂ Male,Gandaki Province,Nawalpur
Nar Bahadur Singh,Rastriya Janamorcha,Dailekh-1,91,Declared,♂ Male,Karnali Province,Dailekh
Shailendra Kumar Karna,Ujyalo Nepal Party,Banke-2,91,Declared,♂ Male,Lumbini Province,Banke
Anirudh Arya,Janata Samajwadi Party Nepal,Bardiya-2,91,Declared,♂ Male,Lumbini Province,Bardiya
Vijay Nembang,CPN (Maoist),Panchthar-1,90,Declared,♂ Male,Koshi Province,Panchthar
Mejar Kumar Rai,Independent,Udayapur-2,90,Declared,♂ Male,Koshi Province,Udayapur
Nilam Kumari Yadav,Nepal Workers and Peasants Party,Saptari-2,90,Declared,♀ Female,Madhesh Province,Saptari
Moibarain Ansari,Independent,Siraha-4,90,Declared,♂ Male,Madhesh Province,Siraha
Navaraj Dhungana,CPN (Maoist),Nuwakot-2,90,Declared,♂ Male,Bagmati Province,Nuwakot
Bandana Shrestha,Nepal Workers and Peasants Party,Kathmandu-8,90,Declared,♀ Female,Bagmati Province,Kathmandu
Wasim Shesh,Shram Sanskriti Party,Parsa-1,90,Declared,♂ Male,Madhesh Province,Parsa
Madan Bahadur Tharu,CPN (Maoist),Rupandehi-1,90,Declared,♂ Male,Lumbini Province,Rupandehi
Krishna Bahdur Rai,Nepali Jana Shramdaan Culture Party,Sankhuwasabha-1,89,Declared,♂ Male,Koshi Province,Sankhuwasabha
Pramoda Kumara Sah,Ujyalo Nepal Party,Dhanusha-3,89,Declared,♂ Male,Madhesh Province,Dhanusha
Manoj Kumar Shukla,Nepal Janata Party,Kapilvastu-1,89,Declared,♂ Male,Lumbini Province,Kapilvastu
Kaiser Jaha (also known as Sakina Muslim),Independent,Kapilvastu-1,89,Declared,♀ Female,Lumbini Province,Kapilvastu
Bidur Adhikari,United Citizens Party,Morang-3,88,Declared,♂ Male,Koshi Province,Morang
Pawan Kumar Mahato,CPN (Maoist),Sarlahi-3,88,Declared,♂ Male,Madhesh Province,Sarlahi
Mukesh Prasad Kushwaha,Independent,Sarlahi-4,88,Declared,♂ Male,Madhesh Province,Sarlahi
Rajan Gautam,Progressive Democratic Party,Nuwakot-1,88,Declared,♂ Male,Bagmati Province,Nuwakot
Dhruva Prasada Kahar,आम जनता पार्टी(एकल चुनाव चिन्ह),Parasi-2,88,Declared,♂ Male,Lumbini Province,Parasi
Binod Kumar Singh Gangai,Janata Samajwadi Party Nepal,Morang-2,87,Declared,♂ Male,Koshi Province,Morang
Golchaa Rai,Mongol National Organisation,Morang-4,87,Declared,♂ Male,Koshi Province,Morang
Tavrej Alam Ansari,आम जनता पार्टी(एकल चुनाव चिन्ह),Sunsari-4,87,Declared,♂ Male,Koshi Province,Sunsari
Asra Raj Bajracharya,CPN (Maoist),Lalitpur-2,87,Declared,♂ Male,Bagmati Province,Lalitpur
Ganesh Bahadur Shrestha,CPN (Maoist),Chitwan-1,87,Declared,♂ Male,Bagmati Province,Chitwan
Bhimlal Neupane,Rastriya Janamorcha,Parbat-1,87,Declared,♂ Male,Gandaki Province,Parbat
Ratana Sin Ravat,Rastriya Janamorcha,Bardiya-2,87,Declared,♂ Male,Lumbini Province,Bardiya
Sita Vi.ka.,आम जनता पार्टी(एकल चुनाव चिन्ह),Kanchanpur-1,87,Declared,♀ Female,Sudurpashchim Province,Kanchanpur
Lal Bahadur Kunwar,Rastriya Janamorcha,Kanchanpur-3,87,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Birkh Raj Panta,Rastriya Janamorcha,Darchula-1,86,Declared,♂ Male,Sudurpashchim Province,Darchula
