candidate,party,constituency,votes,result,sex,province,district
Shishir Khanal,Rastriya Swatantra Party,Kathmandu-6,"27,916",Winner 🏆,♂ Male,Bagmati Province,Kathmandu
Ganesh Parajuli,Rastriya Swatantra Party,Kathmandu-7,"27,805",Winner 🏆,♂ Male,Bagmati Province,Kathmandu
Bikram Thapa,Rastriya Swatantra Party,Kapilvastu-2,"27,635",Winner 🏆,♂ Male,Lumbini Province,Kapilvastu
Sushant Vaidik,Rastriya Swatantra Party,Pyuthan-1,"27,469",Winner 🏆,♂ Male,Lumbini Province,Pyuthan
Barshman Pun,Nepali Communist Party,Rolpa-1,"27,460",Winner 🏆,♂ Male,Lumbini Province,Rolpa
Yajnyamani Nyaaipane,Rastriya Swatantra Party,Morang-1,"27,367",Winner 🏆,♂ Male,Koshi Province,Morang
Ravin‍dra Patel,Rastriya Swatantra Party,Rautahat-3,"27,318",Winner 🏆,♂ Male,Madhesh Province,Rautahat
Buddhi Prasad Panta,Rastriya Swatantra Party,Parsa-1,"27,274",Winner 🏆,♂ Male,Madhesh Province,Parsa
Goma Tamang,Rastriya Swatantra Party,Sunsari-1,"27,249",Declared,♀ Female,Koshi Province,Sunsari
Jnyanendra Sinha Mahata,Rastriya Swatantra Party,Kanchanpur-3,"27,118",Winner 🏆,♂ Male,Sudurpashchim Province,Kanchanpur
Bishnu Bahadur Khadka,Nepali Congress,Surkhet-1,"26,897",Winner 🏆,♂ Male,Karnali Province,Surkhet
Madhav Bahadur Thapa,Rastriya Swatantra Party,Palpa-2,"26,736",Winner 🏆,♂ Male,Lumbini Province,Palpa
Kabindra Burlakoti,Rastriya Swatantra Party,Gorkha-2,"26,660",Winner 🏆,♂ Male,Gandaki Province,Gorkha
Sagar Bhusal,Rastriya Swatantra Party,Parbat-1,"26,561",Winner 🏆,♂ Male,Gandaki Province,Parbat
Bodh Narayan Shrestha,Rastriya Swatantra Party,Dhading-2,"26,145",Winner 🏆,♂ Male,Bagmati Province,Dhading
Jhabi Lal Dumre,Rastriya Swatantra Party,Syangja-2,"25,354",Winner 🏆,♂ Male,Gandaki Province,Syangja
Krishna Hari Budhathoki,Rastriya Swatantra Party,Ramechhap-1,"24,808",Winner 🏆,♂ Male,Bagmati Province,Ramechhap
Mohammad Ishtiyak Rai,CPN (Unified Marxist-Leninist),Banke-2,"24,628",Winner 🏆,♂ Male,Lumbini Province,Banke
Biraj Bhakta Shrestha,Rastriya Swatantra Party,Kathmandu-8,"24,592",Winner 🏆,♂ Male,Bagmati Province,Kathmandu
Bharata Prasada Parajuli,Rastriya Swatantra Party,Sindhupalchok-1,"24,412",Winner 🏆,♂ Male,Bagmati Province,Sindhupalchok
Shunil Kumar Sharma,Nepali Congress,Morang-3,"24,354",Declared,♂ Male,Koshi Province,Morang
Janak Singh Dhami,Rastriya Swatantra Party,Kanchanpur-1,"24,332",Winner 🏆,♂ Male,Sudurpashchim Province,Kanchanpur
Abhishek Pratap Shah,Nepali Congress,Kapilvastu-3,"23,535",Winner 🏆,♂ Male,Lumbini Province,Kapilvastu
Budda Ratna Maharjan,Rastriya Swatantra Party,Lalitpur-1,"23,373",Winner 🏆,♂ Male,Bagmati Province,Lalitpur
Ramesh Kumar Malla,Nepali Communist Party,Salyan-1,"23,189",Winner 🏆,♂ Male,Karnali Province,Salyan
Mahavira Pun,Independent,Myagdi-1,"22,850",Winner 🏆,♂ Male,Gandaki Province,Myagdi
Gagan Kumar Thapa,Nepali Congress,Sarlahi-4,"22,831",Declared,♂ Male,Madhesh Province,Sarlahi
Pitambar Bhusal,CPN (Unified Marxist-Leninist),Arghakhanchi-1,"22,649",Declared,♂ Male,Lumbini Province,Arghakhanchi
