province,district,districtNp,code,name,nameNp,status,lastUpdated,votesCast,totalVoters
Bagmati,Bhaktapur,भक्तपुर,3-भक्तपुर-2,Bhaktapur-2,भक्तपुर क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,69772,98348
Bagmati,Lalitpur,ललितपुर,3-ललितपुर-1,Lalitpur-1,ललितपुर क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,49596,85726
Bagmati,Lalitpur,ललितपुर,3-ललितपुर-2,Lalitpur-2,ललितपुर क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,61313,89078
Bagmati,Lalitpur,ललितपुर,3-ललितपुर-3,Lalitpur-3,ललितपुर क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,67018,94347
Bagmati,Kavrepalanchok,काभ्रेपलाञ्चोक,3-काभ्रेपलाञ्चोक-1,Kavrepalanchok-1,काभ्रेपलाञ्चोक क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,86124,161065
Bagmati,Kavrepalanchok,काभ्रेपलाञ्चोक,3-काभ्रेपलाञ्चोक-2,Kavrepalanchok-2,काभ्रेपलाञ्चोक क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,99580,165485
Bagmati,Sindhupalchok,सिन्धुपाल्चोक,3-सिन्धुपाल्चोक-1,Sindhupalchok-1,सिन्धुपाल्चोक क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,69088,139930
Bagmati,Sindhupalchok,सिन्धुपाल्चोक,3-सिन्धुपाल्चोक-2,Sindhupalchok-2,सिन्धुपाल्चोक क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,74385,137958
Bagmati,Makwanpur,मकवानपुर,3-मकवानपुर-1,Makwanpur-1,मकवानपुर क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,90725,158423
Bagmati,Makwanpur,मकवानपुर,3-मकवानपुर-2,Makwanpur-2,मकवानपुर क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,85619,156778
